Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome
mediumClassic,RandomGhost,2,AlphaBetaAgent,16,645,425,0
mediumClassic,RandomGhost,2,ExpectimaxAgent,16,2041,-1511,0
mediumClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,17,283,546,0
mediumClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,17,377,1692,1
mediumClassic,RandomGhost,2,MinimaxAgent,17,74,-154,0
mediumClassic,RandomGhost,2,AlphaBetaAgent,17,543,436,0
mediumClassic,RandomGhost,2,ExpectimaxAgent,17,31,-312,0
mediumClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,18,659,600,0
mediumClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,18,226,1643,1
mediumClassic,RandomGhost,2,MinimaxAgent,18,1027,-547,0
mediumClassic,RandomGhost,2,AlphaBetaAgent,18,584,-94,0
mediumClassic,RandomGhost,2,ExpectimaxAgent,18,600,1269,1
mediumClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,19,182,717,0
mediumClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,19,308,1561,1
mediumClassic,RandomGhost,2,MinimaxAgent,19,327,112,0
mediumClassic,RandomGhost,2,AlphaBetaAgent,19,2777,-2128,0
mediumClassic,RandomGhost,2,ExpectimaxAgent,19,1200,-181,0
mediumClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,20,286,743,0
mediumClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,20,207,1862,1
mediumClassic,RandomGhost,2,MinimaxAgent,20,2561,-2152,0
mediumClassic,RandomGhost,2,AlphaBetaAgent,20,401,8,0
mediumClassic,RandomGhost,2,ExpectimaxAgent,20,345,-75,0
