Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,9,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,27,63,-204,0,1,0.025,-1.959963985,-1.49256016
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,10,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,28,155,574,0,8,0.375,-0.318639364,-0.389218619
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,11,7,532,1,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,29,128,1461,0,17,0.825,0.934589291,0.868704191
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,12,7,532,1,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,30,48,51,0,2,0.075,-1.439531471,-1.130925079
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,13,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,31,123,396,0,7,0.325,-0.45376219,-0.641654087
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,14,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,32,204,1006,0,13,0.625,0.318639364,0.223433753
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,15,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,33,189,1750,0,18,0.875,1.15034938,1.278557283
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,16,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,34,124,835,0,12,0.575,0.189118426,-0.019074478
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,17,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,35,141,198,0,4,0.175,-0.934589291,-0.922453091
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,18,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,36,147,1402,0,16,0.775,0.755415026,0.785031761
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,19,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,37,123,1056,0,14,0.675,0.45376219,0.294342592
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,20,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,38,118,642,0,10,0.475,-0.062706778,-0.292782598
capsuleClassic,RandomGhost,4,ExpectimaxAgent,1,52,-453,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,39,127,182,0,3,0.125,-1.15034938,-0.94514392
