Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome
contestClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=1,17,109,1880,1
contestClassic,RandomGhost,1,MinimaxAgent,17,1128,-1238,0
contestClassic,RandomGhost,1,AlphaBetaAgent,17,170,-260,0
contestClassic,RandomGhost,1,ExpectimaxAgent,17,314,-404,0
contestClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=0,18,181,598,0
contestClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=1,18,167,1422,1
contestClassic,RandomGhost,1,MinimaxAgent,18,42,-132,0
contestClassic,RandomGhost,1,AlphaBetaAgent,18,90,-180,0
contestClassic,RandomGhost,1,ExpectimaxAgent,18,258,-348,0
contestClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=0,19,213,1376,1
contestClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=1,19,222,1367,1
contestClassic,RandomGhost,1,MinimaxAgent,19,64,-154,0
contestClassic,RandomGhost,1,AlphaBetaAgent,19,1493,-723,0
contestClassic,RandomGhost,1,ExpectimaxAgent,19,764,-854,0
contestClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=0,20,179,260,0
contestClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=1,20,186,1603,1
contestClassic,RandomGhost,1,MinimaxAgent,20,80,-170,0
contestClassic,RandomGhost,1,AlphaBetaAgent,20,855,-355,0
contestClassic,RandomGhost,1,ExpectimaxAgent,20,156,-246,0
mediumClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=0,1,248,382,0
mediumClassic,RandomGhost,1,MonteCarloAgent -a enableRandomPolicy=1,1,160,1709,1
mediumClassic,RandomGhost,1,MinimaxAgent,1,77968,-76099,1
mediumClassic,RandomGhost,1,AlphaBetaAgent,1,10822,-8953,1
