Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,ExpectimaxAgent,7,629,80,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,3,3,516,1,7.5,0.35,-0.385320466,-0.562731434
originalClassic,RandomGhost,5,ExpectimaxAgent,8,777,462,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,4,5,514,1,16.5,0.8,0.841621234,0.937885723
originalClassic,RandomGhost,5,ExpectimaxAgent,9,676,933,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,5,3,516,1,7.5,0.35,-0.385320466,-0.562731434
originalClassic,RandomGhost,5,ExpectimaxAgent,10,1260,349,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,6,3,516,1,7.5,0.35,-0.385320466,-0.562731434
originalClassic,RandomGhost,5,ExpectimaxAgent,11,2009,650,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,7,5,514,1,16.5,0.8,0.841621234,0.937885723
originalClassic,RandomGhost,5,ExpectimaxAgent,12,580,589,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,8,4,515,1,13.5,0.65,0.385320466,0.187577145
originalClassic,RandomGhost,5,ExpectimaxAgent,13,3548,-564,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,9,6,513,1,19,0.925,1.439531471,1.688194302
originalClassic,RandomGhost,5,ExpectimaxAgent,14,162,27,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,10,2,-508,0,1.5,0.05,-1.644853627,-1.313040012
originalClassic,RandomGhost,5,ExpectimaxAgent,15,621,698,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,11,3,516,1,7.5,0.35,-0.385320466,-0.562731434
originalClassic,RandomGhost,5,ExpectimaxAgent,16,885,-165,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,12,3,516,1,7.5,0.35,-0.385320466,-0.562731434
originalClassic,RandomGhost,5,ExpectimaxAgent,17,3120,-271,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,13,4,-494,0,13.5,0.65,0.385320466,0.187577145
originalClassic,RandomGhost,5,ExpectimaxAgent,18,1226,363,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,14,3,516,1,7.5,0.35,-0.385320466,-0.562731434
originalClassic,RandomGhost,5,ExpectimaxAgent,19,955,454,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,15,3,516,1,7.5,0.35,-0.385320466,-0.562731434
originalClassic,RandomGhost,5,ExpectimaxAgent,20,1059,550,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,16,3,516,1,7.5,0.35,-0.385320466,-0.562731434
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,1,237,1063,0,,,649.45,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,17,5,514,1,16.5,0.8,0.841621234,0.937885723
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,2,252,1177,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,18,5,514,1,16.5,0.8,0.841621234,0.937885723
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,3,12,-413,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,19,7,-508,0,20,0.975,1.959963985,2.43850288
