Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,10,285,-146,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,10,108,1341,1
smallClassic,RandomGhost,5,MinimaxAgent,10,198,-79,0
smallClassic,RandomGhost,5,AlphaBetaAgent,10,199,-139,0
smallClassic,RandomGhost,5,ExpectimaxAgent,10,566,-447,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,11,70,-360,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,11,276,1373,1
smallClassic,RandomGhost,5,MinimaxAgent,11,93,-174,0
smallClassic,RandomGhost,5,AlphaBetaAgent,11,265,-346,0
smallClassic,RandomGhost,5,ExpectimaxAgent,11,168,51,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,12,246,354,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,12,139,1710,1
smallClassic,RandomGhost,5,MinimaxAgent,12,485,-166,0
smallClassic,RandomGhost,5,AlphaBetaAgent,12,219,-300,0
smallClassic,RandomGhost,5,ExpectimaxAgent,12,208,-289,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,13,166,1683,1
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,13,273,1376,1
smallClassic,RandomGhost,5,MinimaxAgent,13,207,32,0
smallClassic,RandomGhost,5,AlphaBetaAgent,13,87,-168,0
smallClassic,RandomGhost,5,ExpectimaxAgent,13,284,1165,1
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,14,85,74,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,14,131,-162,0
smallClassic,RandomGhost,5,MinimaxAgent,14,98,22,0
smallClassic,RandomGhost,5,AlphaBetaAgent,14,187,-68,0
smallClassic,RandomGhost,5,ExpectimaxAgent,14,415,1234,1
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,15,193,1656,1
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,15,125,1724,1
smallClassic,RandomGhost,5,MinimaxAgent,15,192,-173,0
smallClassic,RandomGhost,5,AlphaBetaAgent,15,141,-221,0
smallClassic,RandomGhost,5,ExpectimaxAgent,15,174,-54,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,16,64,136,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,16,122,1727,1
smallClassic,RandomGhost,5,MinimaxAgent,16,96,-176,0
smallClassic,RandomGhost,5,AlphaBetaAgent,16,177,32,0
smallClassic,RandomGhost,5,ExpectimaxAgent,16,138,-419,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,17,259,370,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,17,100,1549,1
smallClassic,RandomGhost,5,MinimaxAgent,17,98,-208,0
smallClassic,RandomGhost,5,AlphaBetaAgent,17,151,-431,0
smallClassic,RandomGhost,5,ExpectimaxAgent,17,69,271,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,18,37,-357,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,18,117,1332,1
smallClassic,RandomGhost,5,MinimaxAgent,18,57,-138,0
smallClassic,RandomGhost,5,AlphaBetaAgent,18,122,-3,0
smallClassic,RandomGhost,5,ExpectimaxAgent,18,204,-84,0
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,19,262,1187,1
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,19,108,1541,1
smallClassic,RandomGhost,5,MinimaxAgent,19,112,-192,0
smallClassic,RandomGhost,5,AlphaBetaAgent,19,145,-425,0
smallClassic,RandomGhost,5,ExpectimaxAgent,19,518,931,1
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=0,20,141,1308,1
smallClassic,RandomGhost,5,MonteCarloAgent -a enableRandomPolicy=1,20,149,1100,1
smallClassic,RandomGhost,5,MinimaxAgent,20,219,180,0
smallClassic,RandomGhost,5,AlphaBetaAgent,20,492,757,1
smallClassic,RandomGhost,5,ExpectimaxAgent,20,285,-55,0
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=0,1,39,540,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=1,1,25,554,1
testClassic,DirectionalGhost,3,MinimaxAgent,1,19,560,1
testClassic,DirectionalGhost,3,AlphaBetaAgent,1,31,548,1
testClassic,DirectionalGhost,3,ExpectimaxAgent,1,23,556,1
